weekof,broadcast_weekof,date_aired,time_aired,date_time_aired,station_code,station_name,bc_day,length,program_aired,dp_aired,day_part_aired,spent,imp,tier,web_visits,sales,leads,last_update_date
2019-10-28,2019-10-28,2019-11-01,2:08:00,2019-11-01 2:08,RCNOV,RCN Novelas,Thursday,30,,OV,OVERNIGHT,0,3,HISP,0.89,0.02,0.04,2020-02-19 12:02
2019-10-28,2019-10-28,2019-11-01,2:09:32,2019-11-01 2:09,AMC,American Movie Classics,Thursday,30,MOVIE,OV,OVERNIGHT,225,153,2,22.6,1.52,1.5,2020-02-19 12:02
2019-10-28,2019-10-28,2019-11-01,2:10:00,2019-11-01 2:10,TVVEN,TV Venezuela,Thursday,30,NOTICIAS TV VENEZUELA,OV,OVERNIGHT,0,4,HISP,1,0.08,0.09,2020-02-19 12:02
2019-11-25,2019-11-25,2019-11-30,23:46:00,2019-11-30 23:46,CINEL,CineLatino,Saturday,30,MOVIE,LF,LATE FRINGE,100,20,HISP,3.29,0.24,0.07,2020-02-25 11:56
2019-11-25,2019-11-25,2019-11-30,23:46:00,2019-11-30 23:46,MEX22,Mexico 22,Saturday,30,,LF,LATE FRINGE,10,2,HISP,0.33,0.02,0.01,2020-02-25 11:56
2019-11-25,2019-11-25,2019-11-30,23:47:00,2019-11-30 23:47,BRAVL,Bravo Local,Saturday,15,MOVIE,LF,LATE FRINGE,87,34,4,1.63,0.04,0.05,2020-02-25 11:56
2019-10-28,2019-10-28,2019-10-30,10:45:57,2019-10-30 10:45,TRAV,The Travel Channel,Wednesday,30,MOUNTAIN MONSTERS,DA,DAYTIME,825,27,2,3.89,0.11,0.32,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,10:47:00,2019-10-30 10:47,ASPR,Aspire TV,Wednesday,30,Movie,DA,DAYTIME,45,10,3,0.88,0.05,0.04,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,10:47:48,2019-10-30 10:47,AMC,American Movie Classics,Wednesday,15,MOVIE,DA,DAYTIME,455,83,2,6.46,0.27,0.52,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,10:48:00,2019-10-30 10:48,DEPEL,De Pelicula,Wednesday,60,,DA,DAYTIME,60,12.06,HISP,1.38,0.04,0.04,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,10:48:21,2019-10-30 10:48,COM,Comedy Central,Wednesday,15,SOUTH PARK,DA,DAYTIME,357,59,2,4.46,0.09,0.22,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,10:48:45,2019-10-30 10:48,IFC,Independent Film Channel,Wednesday,15,MOVIE,DA,DAYTIME,112,26,3,1.37,0.04,0.08,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,10:50:00,2019-10-30 10:50,DLAT,Dish Latino,Wednesday,30,DSFam,DA,DAYTIME,6,3,SAT,0.51,0.01,0.04,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,10:50:20,2019-10-30 10:50,PARAN,Paramount Network,Wednesday,15,BAR RESCUE,DA,DAYTIME,380,56,2,4.48,0.07,0.31,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,10:51:00,2019-10-30 10:51,NUESA,NuestraTele,Wednesday,60,,DA,DAYTIME,50,10,HISP,1.46,0.02,0.05,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,10:51:55,2019-10-30 10:51,COZI,COZI-TV,Wednesday,15,THE SIX MILLION DOLLAR MAN,DA,DAYTIME,120,17,3,0.8,0.02,0.04,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,10:52:00,2019-10-30 10:52,TVCS,TvC Sports,Wednesday,60,,DA,DAYTIME,40,8,HISP,1.47,0.05,0.05,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,10:53:16,2019-10-30 10:53,WE,Women's Entertainment,Wednesday,15,CSI: MIAMI,DA,DAYTIME,295,12,2,1.27,0.02,0.08,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,10:53:59,2019-10-30 10:53,FOXDP,Fox Deportes,Wednesday,30,CENTRAL FOX,DA,DAYTIME,23,4,HISP,0.84,0.03,0.03,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,10:54:46,2019-10-30 10:54,VH1,VH1,Wednesday,15,THE FRESH PRINCE OF BEL-AIR,DA,DAYTIME,300,67,2,9.57,0.05,0.61,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,10:56:52,2019-10-30 10:56,FXX,FXX,Wednesday,30,BLACK-ISH,DA,DAYTIME,375,33,2,12.41,0.07,1.44,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,10:58:22,2019-10-30 10:58,CNTRA,CentroAmerica TV,Wednesday,30,VIVA LA MANANA,DA,DAYTIME,15,3,HISP,1.14,0.03,0.08,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,11:01:39,2019-10-30 11:01,TBS,TBS (Turner Broadcast),Wednesday,30,FRIENDS,DA,DAYTIME,1750,168,1,39.51,2.15,7.84,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,11:02:00,2019-10-30 11:02,DEPEC,De Pelicula Clasico,Wednesday,30,,DA,DAYTIME,25,12.06,HISP,2.73,0.08,0.14,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,11:02:00,2019-10-30 11:02,DLAT,Dish Latino,Wednesday,30,TMNDO,DA,DAYTIME,25,12.06,SAT,4.14,0.24,0.41,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,11:05:00,2019-10-30 11:05,CARAC,Caracol International,Wednesday,15,SI-DIA A DIA PARTE II-4006002,DA,DAYTIME,12.5,72.38,HISP,9.98,0.35,0.33,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,11:08:00,2019-10-30 11:08,ESTUD,E Studios,Wednesday,15,SE HA DICHO,DA,DAYTIME,7,1,HISP,0.1,0,0,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,11:09:08,2019-10-30 11:09,UNBC,NBC Universo,Wednesday,15,CASO CERRADO,DA,DAYTIME,15,6,HISP,0.73,0.02,0.05,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,11:09:08,2019-10-30 11:09,MTV,MTV Networks,Wednesday,30,RIDICULOUSNESS,DA,DAYTIME,1475,67,2,8.35,0.37,1.23,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,11:09:10,2019-10-30 11:09,TV1,TV1,Wednesday,30,THE DL HUGHLEY SHOW,DA,DAYTIME,220,17,3,1.88,0.07,0.16,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,11:10:00,2019-10-30 11:10,BEIN,BEin Sports,Wednesday,60,Turkish League Highlights Repe,DA,DAYTIME,110,22,HISP,4.47,0.16,0.24,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,11:11:00,2019-10-30 11:11,DEPEL,De Pelicula,Wednesday,15,,DA,DAYTIME,15,3,HISP,0.76,0.03,0.03,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,11:11:23,2019-10-30 11:11,UNBC,NBC Universo,Wednesday,15,CASO CERRADO,DA,DAYTIME,15,6,HISP,1.67,0.07,0.08,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,11:14:10,2019-10-30 11:14,IFC,Independent Film Channel,Wednesday,15,MOVIE,DA,DAYTIME,112,26,3,5.05,0.11,0.41,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,11:14:11,2019-10-30 11:14,DISC,Discovery Channel,Wednesday,30,EXPEDITION UNKNOWN: HUNT FOR T,DA,DAYTIME,1190,69,1,32.06,0.82,3.04,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,11:14:49,2019-10-30 11:14,HISTE,History Espanol,Wednesday,30,EL PRECIO DE LA HISTORIA,DA,DAYTIME,25,12.06,HISP,6.51,0.12,0.28,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,11:15:12,2019-10-30 11:15,WE,Women's Entertainment,Wednesday,15,CSI: MIAMI,DA,DAYTIME,295,20,2,5.72,0.15,0.33,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,11:17:00,2019-10-30 11:17,ACCN,ACC Network,Wednesday,30,Packer and Durham,DA,DAYTIME,30,1,3,0.3,0.02,0.02,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,11:17:18,2019-10-30 11:17,CBSS,CBS Sports,Wednesday,30,INSIDE COLLEGE FOOTBALL,DA,DAYTIME,95,12.06,3,3.67,0.25,0.19,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,11:18:37,2019-10-30 11:18,MTV3,MTV Tr3s,Wednesday,30,EXITOS,DA,DAYTIME,45,12.06,HISP,3.49,0.19,0.13,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,11:18:42,2019-10-30 11:18,GALA,GALAVISION,Wednesday,60,DESPIERTA,DA,DAYTIME,400,29,HISP,9.01,0.48,0.81,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,11:19:00,2019-10-30 11:19,DISCF,Discovery Familia,Wednesday,30,EL ZOO DE ZU,DA,DAYTIME,35,6,HISP,1.17,0.07,0.07,2020-02-19 12:02
2019-10-28,2019-10-28,2019-10-30,11:19:00,2019-10-30 11:19,DOMVW,Dominican View,Wednesday,30,,DA,DAYTIME,15,3,HISP,0.59,0.04,0.03,2020-02-19 12:02
